Order,Problem,Phase,Sub-Topic,Difficulty,LeetCode #,LeetCode URL,Status,Approaches Mastered,Target Complexity,Confidence,Key Intuition / Trap
1,Single Number,Phase 1: Foundations & Math,Bit Manipulation,Easy,136,https://leetcode.com/problems/single-number/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,x ^ x = 0 and x ^ 0 = x; XOR cancels duplicates.
2,Number of 1 Bits,Phase 1: Foundations & Math,Bit Manipulation,Easy,191,https://leetcode.com/problems/number-of-1-bits/,Not Started,Optimal,O(set bits) | O(1) Space,Unrated,Brian Kernighan: n & (n - 1) clears lowest set bit.
3,Counting Bits,Phase 1: Foundations & Math,Bit Manipulation,Easy,338,https://leetcode.com/problems/counting-bits/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,DP relation: dp[i] = dp[i >> 1] + (i & 1).
4,Power of Two,Phase 1: Foundations & Math,Bit Manipulation,Easy,231,https://leetcode.com/problems/power-of-two/,Not Started,Optimal,O(1) Time | O(1) Space,Unrated,n > 0 && (n & (n - 1)) == 0.
5,Reverse Bits,Phase 1: Foundations & Math,Bit Manipulation,Easy,190,https://leetcode.com/problems/reverse-bits/,Not Started,Optimal,O(1) Time | O(1) Space,Unrated,Extract LSB via n & 1 and shift into result.
6,Single Number III,Phase 1: Foundations & Math,Bit Manipulation,Medium,260,https://leetcode.com/problems/single-number-iii/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,Partition array into 2 groups using LSB mask: diff & (-diff).
7,Single Number II,Phase 1: Foundations & Math,Bit Manipulation,Medium,137,https://leetcode.com/problems/single-number-ii/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,Count bit frequencies modulo 3 or use bit state machines (ones & twos).
8,Bitwise AND of Numbers Range,Phase 1: Foundations & Math,Bit Manipulation,Medium,201,https://leetcode.com/problems/bitwise-and-of-numbers-range/,Not Started,Optimal,O(log N) | O(1) Space,Unrated,Find common prefix of left and right bit patterns; shift right until equal.
9,Sum of Two Integers,Phase 1: Foundations & Math,Bit Manipulation,Medium,371,https://leetcode.com/problems/sum-of-two-integers/,Not Started,Optimal,O(1) Time | O(1) Space,Unrated,Sum without carry = a ^ b; carry = (a & b) << 1.
10,Subsets (Bitmask),Phase 1: Foundations & Math,Bit Manipulation,Medium,78,https://leetcode.com/problems/subsets/,Not Started,Optimal,O(N * 2^N) | O(1) Space,Unrated,Iterate mask from 0 to (1 << N) - 1.
